margBANK,n,landing,coverage
BDG,31,469720,0.838709677419355
BRG,420,1536814,0.952380952380952
CRS,73,3189,1
ERK,533,112010,1
MNT,249,1351660,0.8714859437751
MRO,201,531752,0.975124378109453
OSF,65,238618,0.938461538461538
HKL,128,100050,1
NET,24,59899,0.916666666666667
TWL,1420,4083814,0.954929577464789
1978,124,86843,0.967741935483871
1979,102,83366,1
1980,271,107956,0.996309963099631
1981,237,888719,0.953586497890295
1982,249,518271,0.983935742971888
1983,312,805131,0.971153846153846
1984,277,1753477,0.866425992779783
Q1,277,1420240,0.942238267148014
Q2,441,741347,0.975056689342404
Q3,534,814340,0.962546816479401
Q4,320,1267836,0.940625
