margBANK,n,landing,coverage
BDG,31,469720,0.741935483870968
BRG,420,1536814,0.888095238095238
CRS,73,3189,0.958904109589041
ERK,533,112010,0.954971857410882
MNT,249,1351660,0.694779116465863
MRO,201,531752,0.656716417910448
OSF,65,238618,0.876923076923077
HKL,128,100050,0.75
NET,24,59899,0.666666666666667
TWL,1420,4083814,0.862676056338028
1978,124,86843,0.959677419354839
1979,102,83366,0.892156862745098
1980,271,107956,0.959409594095941
1981,237,888719,0.89873417721519
1982,249,518271,0.847389558232932
1983,312,805131,0.836538461538462
1984,277,1753477,0.657039711191336
Q1,277,1420240,0.790613718411552
Q2,441,741347,0.897959183673469
Q3,534,814340,0.882022471910112
Q4,320,1267836,0.784375
