margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,0.82
ERK,323,6444,0.882352941176471
MNT,108,0,1
MRO,138,2014,0.949275362318841
OSF,29,15228,0.96551724137931
HKL,110,20839,0.972727272727273
NET,6,0,1
TWL,867,2847,0.916955017301038
1978,124,0,1
1979,102,0,0.980392156862745
1980,271,19234,0.952029520295203
1981,237,0,0.890295358649789
1982,249,4452,0.863453815261044
Q1,162,0,0.987654320987654
Q2,289,15228,0.896193771626298
Q3,340,7833,0.967647058823529
Q4,192,625,0.833333333333333
