margQLBK,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,232,0.263803680981595
CRS,50,0,0.46
ERK,323,0,0.164086687306502
MNT,108,0,0.453703703703704
MRO,138,0,0.282608695652174
OSF,29,0,0.206896551724138
HKL,110,0,0.309090909090909
NET,6,0,0.333333333333333
TWL,867,232,0.254901960784314
1978,124,232,0.0403225806451613
1979,102,0,0.00980392156862745
1980,271,0,0.431734317343173
1981,237,0,0.345991561181435
1982,249,0,0.208835341365462
Q1,162,232,0.246913580246914
Q2,289,0,0.259515570934256
Q3,340,0,0.326470588235294
Q4,192,0,0.161458333333333
