margCOPP,n,landing,coverage
BDG,31,0,1
BRG,420,0,1
CRS,73,0,1
ERK,533,14096,0.98686679174484
MNT,249,12672,0.995983935742972
MRO,201,11214,0.985074626865672
OSF,65,15228,0.984615384615385
HKL,128,28491,0.9609375
NET,24,18366,0.916666666666667
TWL,1420,6353,0.996478873239437
1978,124,0,1
1979,102,0,1
1980,271,19234,0.985239852398524
1981,237,0,1
1982,249,4452,0.987951807228916
1983,312,23564,0.987179487179487
1984,277,5960,0.996389891696751
Q1,277,0,1
Q2,441,20922,0.99546485260771
Q3,534,29971,0.98501872659176
Q4,320,2317,0.99375
