margCOPP,n,landing,coverage
BDG,31,0,1
BRG,420,0,0.895238095238095
CRS,73,0,0.904109589041096
ERK,533,14096,0.984990619136961
MNT,249,12672,0.991967871485944
MRO,201,11214,0.955223880597015
OSF,65,15228,0.907692307692308
HKL,128,28491,0.90625
NET,24,18366,0.875
TWL,1420,6353,0.957042253521127
1978,124,0,1
1979,102,0,1
1980,271,19234,0.859778597785978
1981,237,0,0.966244725738397
1982,249,4452,0.987951807228916
1983,312,23564,0.942307692307692
1984,277,5960,0.967509025270758
Q1,277,0,0.974729241877256
Q2,441,20922,0.918367346938776
Q3,534,29971,0.968164794007491
Q4,320,2317,0.95
