"marginalSWSP","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.122699386503067
"CRS",50,0,0.66
"ERK",323,0,0.13312693498452
"MNT",108,0,0.203703703703704
"MRO",138,0,0.130434782608696
"OSF",29,0,0.448275862068966
"HKL",110,0,0.127272727272727
"NET",6,0,0.166666666666667
"TWL",867,0,0.17762399077278
"1978",124,0,0.169354838709677
"1979",102,0,0.0588235294117647
"1980",271,0,0.151291512915129
"1981",237,0,0.156118143459916
"1982",249,0,0.257028112449799
"Q1",162,0,0.290123456790123
"Q2",289,0,0.1280276816609
"Q3",340,0,0.223529411764706
"Q4",192,0,0.046875
