"marginalSWSP","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.858895705521472
"CRS",50,0,1
"ERK",323,0,0.953560371517028
"MNT",108,0,0.851851851851852
"MRO",138,0,0.971014492753623
"OSF",29,0,1
"HKL",110,0,0.963636363636364
"NET",6,0,1
"TWL",867,0,0.910034602076125
"1978",124,0,0.653225806451613
"1979",102,0,1
"1980",271,0,0.985239852398524
"1981",237,0,0.928270042194093
"1982",249,0,0.927710843373494
"Q1",162,0,0.895061728395062
"Q2",289,0,0.968858131487889
"Q3",340,0,0.838235294117647
"Q4",192,0,0.994791666666667
