margSABL,n,landing,coverage
BRG,6,0,0
MNT,88,4753,0.5
MRO,64,0,0.8125
OSF,52,0,0.307692307692308
HKL,1,0,1
NET,8,0,1
TWL,201,4753,0.512437810945274
1978,57,4753,0.421052631578947
1980,61,0,0.442622950819672
1981,42,0,0.738095238095238
1982,50,0,0.6
Q1,43,4753,0.418604651162791
Q2,73,0,0.63013698630137
Q3,54,0,0.444444444444444
Q4,40,0,0.6
