margSLGR,n,landing,coverage
BDG,31,1776,0.0967741935483871
BRG,420,0,0.29047619047619
CRS,73,0,0.191780821917808
ERK,533,3519,0.380863039399625
MNT,249,0,0.273092369477912
MRO,201,0,0.412935323383085
OSF,65,5681,0.369230769230769
HKL,128,0,0.546875
NET,24,0,0.708333333333333
TWL,1420,10976,0.302816901408451
1978,124,0,0.411290322580645
1979,102,1894,0.46078431372549
1980,271,0,0.328413284132841
1981,237,0,0.312236286919831
1982,249,0,0.51004016064257
1983,312,0,0.333333333333333
1984,277,9082,0.0902527075812274
Q1,277,1894,0.36101083032491
Q2,441,7457,0.276643990929705
Q3,534,1625,0.228464419475655
Q4,320,0,0.540625
