margSLGR,n,landing,coverage
BDG,31,1776,0.967741935483871
BRG,420,0,0.919047619047619
CRS,73,0,1
ERK,533,3519,0.99624765478424
MNT,249,0,0.995983935742972
MRO,201,0,0.935323383084577
OSF,65,5681,0.953846153846154
HKL,128,0,0.890625
NET,24,0,1
TWL,1420,10976,0.971830985915493
1978,124,0,0.774193548387097
1979,102,1894,0.990196078431373
1980,271,0,1
1981,237,0,1
1982,249,0,0.939759036144578
1983,312,0,0.996794871794872
1984,277,9082,0.967509025270758
Q1,277,1894,0.949458483754513
Q2,441,7457,0.99546485260771
Q3,534,1625,0.940074906367041
Q4,320,0,0.98125
