"marginalCBZN","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.134969325153374
"CRS",50,0,0.48
"ERK",323,0,0.120743034055728
"MNT",108,0,0.342592592592593
"MRO",138,125,0.166666666666667
"OSF",29,0,0.724137931034483
"HKL",110,125,0.218181818181818
"NET",6,0,0
"TWL",867,0,0.189158016147636
"1978",124,0,0.274193548387097
"1979",102,125,0.166666666666667
"1980",271,0,0.188191881918819
"1981",237,0,0.156118143459916
"1982",249,0,0.196787148594378
"Q1",162,0,0.419753086419753
"Q2",289,125,0.027681660899654
"Q3",340,0,0.191176470588235
"Q4",192,0,0.244791666666667
