"marginalCBZN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.892638036809816
"CRS",50,0,1
"ERK",323,0,0.897832817337461
"MNT",108,0,0.990740740740741
"MRO",138,125,0.942028985507246
"OSF",29,0,0.96551724137931
"HKL",110,125,0.945454545454545
"NET",6,0,1
"TWL",867,0,0.916955017301038
"1978",124,0,0.991935483870968
"1979",102,125,0.941176470588235
"1980",271,0,0.992619926199262
"1981",237,0,0.708860759493671
"1982",249,0,1
"Q1",162,0,0.962962962962963
"Q2",289,125,0.813148788927336
"Q3",340,0,1
"Q4",192,0,0.90625
