"marginalREYE","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.97239263803681
"CRS",50,0,1
"ERK",323,0,0.907120743034056
"MNT",108,0,0.907407407407407
"MRO",138,0,0.884057971014493
"OSF",29,0,1
"HKL",110,0,0.872727272727273
"NET",6,0,1
"TWL",867,0,0.935409457900807
"1978",124,0,1
"1979",102,0,0.980392156862745
"1980",271,0,0.996309963099631
"1981",237,0,0.767932489451477
"1982",249,0,0.951807228915663
"Q1",162,0,0.981481481481482
"Q2",289,0,0.965397923875433
"Q3",340,0,0.888235294117647
"Q4",192,0,0.901041666666667
