margSBLY,n,landing,coverage
BDG,56,6313,0.982142857142857
BRG,457,854,0.993435448577681
CRS,82,0,1
ERK,594,0,1
MNT,344,1372,0.98546511627907
MRO,266,0,1
OSF,104,536,0.990384615384615
HKL,138,0,1
NET,47,0,1
TWL,1718,9075,0.994179278230501
1978,124,387,0.983870967741935
1979,102,0,1
1980,271,0,1
1981,237,0,1
1982,249,7213,0.991967871485944
1983,312,73,0.996794871794872
1984,277,128,0.996389891696751
1985,331,1274,0.987915407854985
Q1,339,150,0.994100294985251
Q2,531,6910,0.992467043314501
Q3,645,579,0.996899224806202
Q4,388,1436,0.994845360824742
