margBCAC,n,landing,coverage
BDG,56,1343879,0.732142857142857
BRG,457,6311262,0.641137855579869
CRS,82,947229,0.878048780487805
ERK,594,4176344,0.754208754208754
MNT,344,4729686,0.651162790697674
MRO,266,2300041,0.62781954887218
OSF,104,4018454,0.596153846153846
HKL,138,1406078,0.601449275362319
NET,47,1073159,0.702127659574468
TWL,1718,21347658,0.693247962747381
1978,124,1320166,0.556451612903226
1979,102,1408999,0.647058823529412
1980,271,2700181,0.708487084870849
1981,237,5193394,0.654008438818565
1982,249,3670793,0.566265060240964
1983,312,4203619,0.628205128205128
1984,277,3340892,0.743682310469314
1985,331,1988851,0.851963746223565
Q1,339,4823106,0.666666666666667
Q2,531,6665516,0.672316384180791
Q3,645,7595654,0.66046511627907
Q4,388,4742619,0.768041237113402
