margURCK,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.45398773006135
CRS,50,44,0.04
ERK,323,0,0.356037151702786
MNT,108,0,0.361111111111111
MRO,138,0,0.304347826086957
OSF,29,0,0.344827586206897
HKL,110,0,0.263636363636364
NET,6,0,0
TWL,867,44,0.378316032295271
1978,124,0,0.443548387096774
1979,102,0,0.313725490196078
1980,271,44,0.328413284132841
1981,237,0,0.333333333333333
1982,249,0,0.409638554216867
Q1,162,0,0.5
Q2,289,0,0.124567474048443
Q3,340,44,0.476470588235294
Q4,192,0,0.40625
