margTIGR,n,landing,coverage
BRG,6,0,1
MNT,88,0,1
MRO,64,0,1
OSF,52,4022,1
HKL,1,0,1
NET,8,0,1
TWL,201,4022,1
1978,57,0,1
1980,61,0,1
1981,42,4022,1
1982,50,0,1
Q1,43,0,1
Q2,73,0,1
Q3,54,0,1
Q4,40,4022,1
