margSABL,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,4753,0.840909090909091
MRO,64,0,0.328125
OSF,52,0,0.615384615384615
HKL,1,0,0
NET,8,0,1
TWL,201,4753,0.611940298507463
1978,57,4753,0.456140350877193
1980,61,0,0.704918032786885
1981,42,0,0.357142857142857
1982,50,0,0.94
Q1,43,4753,0.581395348837209
Q2,73,0,0.89041095890411
Q3,54,0,0.351851851851852
Q4,40,0,0.55
