margTIGR,n,landing,coverage
BDG,56,2766,0.267857142857143
BRG,457,0,0.25601750547046
CRS,82,0,0.378048780487805
ERK,594,0,0.351851851851852
MNT,344,0,0.267441860465116
MRO,266,0,0.12781954887218
OSF,104,0,0.144230769230769
HKL,138,0,0.260869565217391
NET,47,0,0.0212765957446809
TWL,1718,2766,0.277066356228172
1978,124,0,0.193548387096774
1979,102,0,0.568627450980392
1980,271,0,0.22140221402214
1981,237,2766,0.329113924050633
1982,249,0,0.313253012048193
1983,312,0,0.346153846153846
1984,277,0,0.223826714801444
1985,331,0,0.13595166163142
Q1,339,0,0.144542772861357
Q2,531,0,0.267419962335217
Q3,645,0,0.288372093023256
Q4,388,2766,0.350515463917526
