margTIGR,n,landing,coverage
BDG,56,2766,0.982142857142857
BRG,457,0,0.921225382932166
CRS,82,0,0.951219512195122
ERK,594,0,0.942760942760943
MNT,344,0,0.880813953488372
MRO,266,0,0.917293233082707
OSF,104,0,1
HKL,138,0,0.905797101449275
NET,47,0,0.914893617021277
TWL,1718,2766,0.929569266589057
1978,124,0,0.75
1979,102,0,0.980392156862745
1980,271,0,0.96309963099631
1981,237,2766,0.962025316455696
1982,249,0,0.93574297188755
1983,312,0,0.996794871794872
1984,277,0,0.884476534296029
1985,331,0,0.88821752265861
Q1,339,0,0.882005899705015
Q2,531,0,0.913370998116761
Q3,645,0,0.975193798449612
Q4,388,2766,0.907216494845361
