margYTRK,n,landing,coverage
BDG,27,0,0.925925925925926
BRG,12,0,0.916666666666667
CRS,3,33246,0.666666666666667
ERK,55,0,0.690909090909091
MNT,11,0,1
MRO,1,26877,0
OSF,20,0,0.95
TWL,129,60123,0.821705426356589
1981,37,0,1
1982,92,60123,0.75
Q1,33,0,1
Q2,13,0,0.769230769230769
Q3,37,60123,0.459459459459459
Q4,46,0,1
