margGSPT,n,landing,coverage
BDG,9,0,1
BRG,326,274928,0.822085889570552
CRS,50,23232,0.68
ERK,323,231696,0.894736842105263
MNT,108,15597,0.925925925925926
MRO,138,105637,0.789855072463768
OSF,29,24513,0.931034482758621
HKL,110,108515,0.727272727272727
NET,6,0,1
TWL,867,567088,0.865051903114187
1978,124,27031,0.854838709677419
1979,102,91046,0.823529411764706
1980,271,81904,0.85239852398524
1981,237,329640,0.852320675105485
1982,249,145982,0.855421686746988
Q1,162,224167,0.858024691358025
Q2,289,167944,0.86159169550173
Q3,340,124482,0.852941176470588
Q4,192,159010,0.822916666666667
