margSHRP,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,3698,0.800613496932515
CRS,50,0,1
ERK,323,0,0.95046439628483
MNT,108,0,1
MRO,138,0,1
OSF,29,0,1
HKL,110,0,1
NET,6,0,1
TWL,867,3698,0.905420991926182
1978,124,0,1
1979,102,3698,0.823529411764706
1980,271,0,0.837638376383764
1981,237,0,0.915611814345992
1982,249,0,1
Q1,162,0,0.993827160493827
Q2,289,0,0.875432525951557
Q3,340,1139,0.870588235294118
Q4,192,2559,0.994791666666667
