margSHRP,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,3698,0.346625766871166
CRS,50,0,0.18
ERK,323,0,0.1671826625387
MNT,108,0,0.175925925925926
MRO,138,0,0.239130434782609
OSF,29,0,0.482758620689655
HKL,110,0,0.272727272727273
NET,6,0,0.5
TWL,867,3698,0.245674740484429
1978,124,0,0.0564516129032258
1979,102,3698,0.42156862745098
1980,271,0,0.291512915129151
1981,237,0,0.286919831223629
1982,249,0,0.196787148594378
Q1,162,0,0.339506172839506
Q2,289,0,0.256055363321799
Q3,340,1139,0.158823529411765
Q4,192,2559,0.328125
