"marginalEGLS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.947852760736196
"CRS",50,0,1
"ERK",323,0,0.931888544891641
"MNT",108,1398,0.944444444444444
"MRO",138,0,0.855072463768116
"OSF",29,0,0.931034482758621
"HKL",110,0,0.809090909090909
"NET",6,0,1
"TWL",867,1398,0.946943483275663
"1978",124,0,0.983870967741935
"1979",102,0,0.950980392156863
"1980",271,1398,0.918819188191882
"1981",237,0,0.848101265822785
"1982",249,0,0.991967871485944
"Q1",162,0,0.851851851851852
"Q2",289,0,0.98961937716263
"Q3",340,1398,0.923529411764706
"Q4",192,0,0.927083333333333
