margEGLS,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.466257668711656
CRS,50,0,0.12
ERK,323,0,0.371517027863777
MNT,108,1398,0.240740740740741
MRO,138,0,0.195652173913043
OSF,29,0,0.379310344827586
HKL,110,0,0.236363636363636
NET,6,0,0.5
TWL,867,1398,0.36562860438293
1978,124,0,0.258064516129032
1979,102,0,0.225490196078431
1980,271,1398,0.457564575645756
1981,237,0,0.312236286919831
1982,249,0,0.373493975903614
Q1,162,0,0.160493827160494
Q2,289,0,0.449826989619377
Q3,340,1398,0.438235294117647
Q4,192,0,0.213541666666667
