margKLPG,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,337,0.894736842105263
MRO,66,0,0.96969696969697
OSF,63,0,0.936507936507937
HKL,1,0,1
NET,8,337,0.875
TWL,225,0,0.933333333333333
1978,57,337,0.894736842105263
1980,61,0,1
1981,42,0,1
1982,50,0,0.88
1983,18,0,0.777777777777778
1984,6,0,1
Q1,51,0,0.92156862745098
Q2,79,337,0.987341772151899
Q3,59,0,0.898305084745763
Q4,45,0,0.888888888888889
