margKLPG,n,landing,coverage
BDG,4,0,0.75
BRG,6,0,0
MNT,95,337,0.368421052631579
MRO,66,0,0.0606060606060606
OSF,63,0,0.301587301587302
HKL,1,0,1
NET,8,337,0
TWL,225,0,0.266666666666667
1978,57,337,0.192982456140351
1980,61,0,0.19672131147541
1981,42,0,0.119047619047619
1982,50,0,0.56
1983,18,0,0.111111111111111
1984,6,0,0.5
Q1,51,0,0.0980392156862745
Q2,79,337,0.379746835443038
Q3,59,0,0.372881355932203
Q4,45,0,0.0888888888888889
