margCNRY,n,landing,coverage
BDG,31,184999,1
BRG,420,2397630,0.942857142857143
CRS,73,1538617,0.753424657534247
ERK,533,2354023,0.921200750469043
MNT,249,23916,0.995983935742972
MRO,201,100136,0.990049751243781
OSF,65,7637,0.984615384615385
HKL,128,137101,0.9765625
NET,24,0,1
TWL,1420,6469857,0.940140845070423
1978,124,1259855,0.887096774193548
1979,102,626077,0.950980392156863
1980,271,615166,0.933579335793358
1981,237,1146147,0.966244725738397
1982,249,1500068,0.93574297188755
1983,312,751387,0.942307692307692
1984,277,708258,0.967509025270758
Q1,277,950271,0.967509025270758
Q2,441,2595705,0.920634920634921
Q3,534,2619412,0.928838951310861
Q4,320,441570,0.98125
