"marginalBRWN","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,1
"MRO",64,3617,0.984375
"OSF",52,0,0.942307692307692
"HKL",1,0,1
"NET",8,0,1
"TWL",201,3617,0.980099502487562
"1978",57,0,1
"1980",61,0,1
"1981",42,0,0.928571428571429
"1982",50,3617,0.98
"Q1",43,3617,0.976744186046512
"Q2",73,0,1
"Q3",54,0,1
"Q4",40,0,0.925
