margCWCD,n,landing,coverage
BRG,6,0,1
MNT,88,371,0.852272727272727
MRO,64,11917,0.84375
OSF,52,21861,0.923076923076923
HKL,1,1490,0
NET,8,0,1
TWL,201,32659,0.870646766169154
1978,57,22066,0.771929824561403
1980,61,1490,0.836065573770492
1981,42,10427,0.976190476190476
1982,50,166,0.94
Q1,43,1695,0.883720930232558
Q2,73,21861,0.904109589041096
Q3,54,0,0.759259259259259
Q4,40,10593,0.95
