"marginalWDOW","n","landing","coverage"
"BDG",9,13218,1
"BRG",326,635196,0.978527607361963
"CRS",50,182129,0.98
"ERK",323,15744399,0.795665634674923
"MNT",108,570494,0.907407407407407
"MRO",138,219593,0.992753623188406
"OSF",29,788477,0.931034482758621
"HKL",110,208182,0.990909090909091
"NET",6,10917,1
"TWL",867,17934407,0.90080738177624
"1978",124,749148,0.967741935483871
"1979",102,2751370,0.882352941176471
"1980",271,10708990,0.870848708487085
"1981",237,3288416,0.881856540084388
"1982",249,655582,0.967871485943775
"Q1",162,4011229,0.901234567901235
"Q2",289,4284190,0.868512110726644
"Q3",340,4756660,0.944117647058824
"Q4",192,5101427,0.927083333333333
