margMXRF,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,15828,0.187116564417178
CRS,50,0,0.36
ERK,323,0,0.269349845201238
MNT,108,0,0.194444444444444
MRO,138,0,0.239130434782609
OSF,29,0,0.448275862068966
HKL,110,0,0.0818181818181818
NET,6,0,0.5
TWL,867,15828,0.25836216839677
1978,124,0,0.57258064516129
1979,102,0,0.137254901960784
1980,271,15828,0.276752767527675
1981,237,0,0.232067510548523
1982,249,0,0.0843373493975904
Q1,162,0,0.265432098765432
Q2,289,6676,0.256055363321799
Q3,340,9152,0.229411764705882
Q4,192,0,0.213541666666667
