margBCAC,n,landing,coverage
BDG,1,18941,1
BRG,6,172242,1
MNT,92,4345565,0.956521739130435
MRO,66,2762454,0.772727272727273
OSF,63,3176702,0.825396825396825
HKL,1,0,1
NET,8,145083,1
TWL,219,10330821,0.863013698630137
1978,57,1853861,0.964912280701754
1980,61,4271945,0.868852459016393
1981,42,2050399,0.785714285714286
1982,50,1990221,0.92
1983,18,309478,0.611111111111111
Q1,45,1971578,0.955555555555556
Q2,79,3948076,0.873417721518987
Q3,59,2789724,0.830508474576271
Q4,45,1766526,0.822222222222222
