"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.777777777777778
"BRG",326,1338,0.51840490797546
"CRS",50,157,0.42
"ERK",323,291,0.721362229102167
"MNT",108,0,0.712962962962963
"MRO",138,0,0.826086956521739
"OSF",29,0,0.551724137931034
"HKL",110,0,0.972727272727273
"NET",6,0,0.666666666666667
"TWL",867,1786,0.606689734717416
"1978",124,47,0.669354838709677
"1979",102,244,0.53921568627451
"1980",271,0,0.660516605166052
"1981",237,0,0.582278481012658
"1982",249,1495,0.730923694779116
"Q1",162,0,0.703703703703704
"Q2",289,1582,0.477508650519031
"Q3",340,204,0.767647058823529
"Q4",192,0,0.645833333333333
