margSTAR,n,landing,coverage
BDG,9,0,1
BRG,326,0,1
CRS,50,0,1
ERK,323,0,0.913312693498452
MNT,108,0,1
MRO,138,2890,0.992753623188406
OSF,29,0,0.793103448275862
HKL,110,2559,1
NET,6,0,1
TWL,867,331,0.959630911188005
1978,124,0,1
1979,102,112,1
1980,271,331,0.992619926199262
1981,237,1766,0.860759493670886
1982,249,681,1
Q1,162,681,1
Q2,289,147,1
Q3,340,599,0.9
Q4,192,1463,0.994791666666667
