margSTAR,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.346625766871166
CRS,50,0,0.2
ERK,323,0,0.492260061919505
MNT,108,0,0.268518518518519
MRO,138,2890,0.746376811594203
OSF,29,0,0.448275862068966
HKL,110,2559,0.936363636363636
NET,6,0,1
TWL,867,331,0.371395617070358
1978,124,0,0.370967741935484
1979,102,112,0.617647058823529
1980,271,331,0.29520295202952
1981,237,1766,0.481012658227848
1982,249,681,0.514056224899598
Q1,162,681,0.462962962962963
Q2,289,147,0.543252595155709
Q3,340,599,0.264705882352941
Q4,192,1463,0.567708333333333
