margPOP,n,landing,coverage
BDG,27,0,0.333333333333333
BRG,12,0,0.666666666666667
CRS,3,0,1
ERK,55,0,0.618181818181818
MNT,11,0,0
MRO,1,0,1
OSF,20,0,0.3
TWL,129,0,0.472868217054264
1981,37,0,0.189189189189189
1982,92,0,0.58695652173913
Q1,33,0,0.0909090909090909
Q2,13,0,1
Q3,37,0,0.945945945945946
Q4,46,0,0.217391304347826
