margYMTH,n,landing,coverage
BDG,31,0,0.870967741935484
BRG,420,7648,0.571428571428571
CRS,73,0,0.534246575342466
ERK,533,21213,0.652908067542214
MNT,249,0,0.610441767068273
MRO,201,0,0.562189054726368
OSF,65,0,0.969230769230769
HKL,128,0,0.59375
NET,24,0,0.541666666666667
TWL,1420,28861,0.62887323943662
1978,124,0,0.451612903225806
1979,102,1535,0.823529411764706
1980,271,0,0.675276752767528
1981,237,0,0.852320675105485
1982,249,0,0.746987951807229
1983,312,4703,0.586538461538462
1984,277,22623,0.317689530685921
Q1,277,6113,0.71841155234657
Q2,441,10267,0.526077097505669
Q3,534,10946,0.644194756554307
Q4,320,1535,0.646875
