margVRML,n,landing,coverage
BDG,56,8214,1
BRG,457,66054,0.993435448577681
CRS,82,7346,0.963414634146341
ERK,594,62060,0.976430976430976
MNT,344,2645,0.997093023255814
MRO,266,743704,0.823308270676692
OSF,104,5883,0.990384615384615
HKL,138,734996,0.702898550724638
NET,47,0,1
TWL,1718,160910,0.983701979045402
1978,124,50847,0.983870967741935
1979,102,61012,0.941176470588235
1980,271,248223,0.944649446494465
1981,237,191821,0.932489451476793
1982,249,298617,0.93574297188755
1983,312,16933,0.996794871794872
1984,277,14555,0.974729241877256
1985,331,13898,0.981873111782477
Q1,339,321669,0.958702064896755
Q2,531,203603,0.95668549905838
Q3,645,246695,0.968992248062015
Q4,388,123939,0.969072164948454
