margOLVE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,1
ERK,323,0,0.947368421052632
MNT,108,7525,0.962962962962963
MRO,138,17817,0.956521739130435
OSF,29,0,0.862068965517241
HKL,110,24120,0.936363636363636
NET,6,0,1
TWL,867,1222,0.949250288350634
1978,124,0,0.879032258064516
1979,102,4165,0.950980392156863
1980,271,6674,0.985239852398524
1981,237,374,0.911392405063291
1982,249,14129,0.975903614457831
Q1,162,0,0.962962962962963
Q2,289,5016,0.916955017301038
Q3,340,19210,0.95
Q4,192,1116,0.979166666666667
