margYTRK,n,landing,coverage
BDG,33,0,0.939393939393939
BRG,26,0,0.961538461538462
CRS,7,33246,0.857142857142857
ERK,99,9525,0.909090909090909
MNT,12,0,1
MRO,3,26877,0.666666666666667
OSF,22,0,0.954545454545455
TWL,202,69648,0.925742574257426
1981,37,0,1
1982,92,60123,0.880434782608696
1983,73,9525,0.945205479452055
Q1,51,9525,0.96078431372549
Q2,35,0,0.914285714285714
Q3,59,60123,0.830508474576271
Q4,57,0,1
