margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.702453987730061
CRS,50,0,1
ERK,323,6444,0.724458204334365
MNT,108,0,0.518518518518518
MRO,138,2014,0.746376811594203
OSF,29,15228,0.827586206896552
HKL,110,20839,0.909090909090909
NET,6,0,0.166666666666667
TWL,867,2847,0.696655132641292
1978,124,0,0.766129032258065
1979,102,0,0.715686274509804
1980,271,19234,0.549815498154982
1981,237,0,0.79746835443038
1982,249,4452,0.799196787148594
Q1,162,0,0.882716049382716
Q2,289,15228,0.910034602076125
Q3,340,7833,0.494117647058824
Q4,192,625,0.682291666666667
