"marginalMXRF","n","landing","coverage"
"BDG",9,0,1
"BRG",326,15828,0.941717791411043
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,0,0.962962962962963
"MRO",138,0,0.956521739130435
"OSF",29,0,1
"HKL",110,0,0.963636363636364
"NET",6,0,1
"TWL",867,15828,0.97116493656286
"1978",124,0,0.862903225806452
"1979",102,0,1
"1980",271,15828,0.977859778597786
"1981",237,0,0.983122362869198
"1982",249,0,0.991967871485944
"Q1",162,0,0.895061728395062
"Q2",289,6676,0.982698961937716
"Q3",340,9152,0.985294117647059
"Q4",192,0,0.989583333333333
