"marginalMXRF","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,15828,0.279141104294479
"CRS",50,0,0.28
"ERK",323,0,0.377708978328173
"MNT",108,0,0.287037037037037
"MRO",138,0,0.485507246376812
"OSF",29,0,0.241379310344828
"HKL",110,0,0.527272727272727
"NET",6,0,0.333333333333333
"TWL",867,15828,0.31603229527105
"1978",124,0,0.451612903225806
"1979",102,0,0.401960784313726
"1980",271,15828,0.202952029520295
"1981",237,0,0.354430379746835
"1982",249,0,0.393574297188755
"Q1",162,0,0.216049382716049
"Q2",289,6676,0.211072664359862
"Q3",340,9152,0.497058823529412
"Q4",192,0,0.359375
