"marginalSABL","n","landing","coverage"
"BRG",6,0,0.333333333333333
"MNT",88,4753,0.113636363636364
"MRO",64,0,0.21875
"OSF",52,0,0.596153846153846
"HKL",1,0,1
"NET",8,0,0.75
"TWL",201,4753,0.248756218905473
"1978",57,4753,0.333333333333333
"1980",61,0,0.508196721311475
"1981",42,0,0.119047619047619
"1982",50,0,0.04
"Q1",43,4753,0.209302325581395
"Q2",73,0,0.205479452054795
"Q3",54,0,0.481481481481481
"Q4",40,0,0.175
