"marginalBANK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,610204,0.932515337423313
"CRS",50,0,1
"ERK",323,71047,0.993808049535604
"MNT",108,687699,0.842592592592593
"MRO",138,316205,0.927536231884058
"OSF",29,0,1
"HKL",110,87376,0.954545454545455
"NET",6,36046,0.833333333333333
"TWL",867,1561733,0.948096885813149
"1978",124,86843,0.967741935483871
"1979",102,83366,0.970588235294118
"1980",271,107956,0.977859778597786
"1981",237,888719,0.919831223628692
"1982",249,518271,0.923694779116466
"Q1",162,615603,0.901234567901235
"Q2",289,575087,0.934256055363322
"Q3",340,304023,0.970588235294118
"Q4",192,190442,0.96875
