margREDS,n,landing,coverage
BDG,9,0,1
BRG,326,4464,0.929447852760736
CRS,50,0,0.98
ERK,323,4155,0.653250773993808
MNT,108,0,0.675925925925926
MRO,138,0,0.681159420289855
OSF,29,0,0.827586206896552
HKL,110,0,0.936363636363636
NET,6,0,0.166666666666667
TWL,867,8619,0.760092272202999
1978,124,0,0.959677419354839
1979,102,0,0.892156862745098
1980,271,3996,0.608856088560886
1981,237,468,0.835443037974684
1982,249,4155,0.763052208835341
Q1,162,468,0.925925925925926
Q2,289,7030,0.698961937716263
Q3,340,0,0.847058823529412
Q4,192,1121,0.640625
