"marginalARRA","n","landing","coverage"
"BRG",6,0,0.166666666666667
"MNT",88,0,0.681818181818182
"MRO",64,5603,0.640625
"OSF",52,1155,0.673076923076923
"HKL",1,0,1
"NET",8,0,1
"TWL",201,6758,0.63681592039801
"1978",57,0,0.684210526315789
"1980",61,5257,0.524590163934426
"1981",42,0,0.619047619047619
"1982",50,1501,0.8
"Q1",43,1501,0.744186046511628
"Q2",73,1155,0.835616438356164
"Q3",54,0,0.425925925925926
"Q4",40,4102,0.525
