"marginalLSPN","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,432,0.420245398773006
"CRS",50,0,0.28
"ERK",323,0,0.498452012383901
"MNT",108,0,0.703703703703704
"MRO",138,0,0.376811594202899
"OSF",29,0,0.482758620689655
"HKL",110,0,0.381818181818182
"NET",6,0,0.166666666666667
"TWL",867,432,0.476355247981546
"1978",124,163,0.387096774193548
"1979",102,0,0.588235294117647
"1980",271,269,0.328413284132841
"1981",237,0,0.514767932489452
"1982",249,0,0.550200803212851
"Q1",162,0,0.537037037037037
"Q2",289,0,0.491349480968858
"Q3",340,269,0.370588235294118
"Q4",192,163,0.526041666666667
