margOLVE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,0.96
ERK,323,0,1
MNT,108,7525,0.981481481481482
MRO,138,17817,0.898550724637681
OSF,29,0,0.689655172413793
HKL,110,24120,0.863636363636364
NET,6,0,1
TWL,867,1222,0.963091118800461
1978,124,0,0.983870967741935
1979,102,4165,0.892156862745098
1980,271,6674,0.992619926199262
1981,237,374,0.890295358649789
1982,249,14129,0.975903614457831
Q1,162,0,0.975308641975309
Q2,289,5016,0.889273356401384
Q3,340,19210,0.973529411764706
Q4,192,1116,0.989583333333333
