margGBLC,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.932515337423313
CRS,50,0,0.9
ERK,323,0,0.95046439628483
MNT,108,0,0.990740740740741
MRO,138,37006,0.717391304347826
OSF,29,0,0.620689655172414
HKL,110,37006,0.645454545454546
NET,6,0,1
TWL,867,0,0.935409457900807
1978,124,0,0.854838709677419
1979,102,372,0.823529411764706
1980,271,1328,0.974169741697417
1981,237,0,0.873417721518987
1982,249,35306,0.911646586345382
Q1,162,5688,0.820987654320988
Q2,289,58,0.885813148788927
Q3,340,30556,0.914705882352941
Q4,192,704,0.979166666666667
