margSPKL,n,landing,coverage
BRG,6,0,1
MNT,88,945,1
MRO,64,30039,0.96875
OSF,52,0,1
HKL,1,0,1
NET,8,904,1
TWL,201,30080,0.990049751243781
1978,57,945,1
1980,61,0,1
1981,42,30039,0.952380952380952
1982,50,0,1
Q1,43,9729,0.976744186046512
Q2,73,415,1
Q3,54,20840,0.981481481481482
Q4,40,0,1
