margSPKL,n,landing,coverage
BRG,6,0,1
MNT,88,945,0.965909090909091
MRO,64,30039,0.859375
OSF,52,0,0.865384615384615
HKL,1,0,1
NET,8,904,0.75
TWL,201,30080,0.915422885572139
1978,57,945,0.824561403508772
1980,61,0,1
1981,42,30039,0.833333333333333
1982,50,0,0.96
Q1,43,9729,0.697674418604651
Q2,73,415,0.972602739726027
Q3,54,20840,0.925925925925926
Q4,40,0,1
