"species","mad"
"REDS",8.51096846156371e-06
"SBLY",8.54556490415711e-06
"GSPT",8.60216851656504e-06
"ROSY",8.61776583433784e-06
"ARRA",8.62266804917412e-06
"MXRF",8.68045299913302e-06
"FLAG",8.6919624625024e-06
"SNOS",8.76254006832431e-06
"RSTN",8.79797937345061e-06
"GSRK",8.84824754924383e-06
"RDBD",8.91237204519747e-06
"SHRP",8.99561306655682e-06
"BLGL",9.18427728583263e-06
"COPP",9.24483305126209e-06
"BRWN",9.29339862678442e-06
"STRK",9.30030222871304e-06
"STAR",9.36756476648357e-06
"GBLC",9.38305886062822e-06
"POP",9.50186680831225e-06
"SSPN",9.56850953462211e-06
"YTRK",9.92575279041591e-06
"BANK",1.00997650763223e-05
"OLVE",1.04890252222816e-05
"CWCD",1.18746160523603e-05
"BLUR",1.19623399255512e-05
"BLCK",1.22333092132875e-05
"GRAS",1.2424521382319e-05
"WDOW",1.30103092207082e-05
"YMTH",1.30652361664921e-05
"DBRK",1.32582611628054e-05
"CNRY",1.32693885014646e-05
"EGLS",1.33218810371918e-05
"YEYE",1.33611734760785e-05
"CLPR",1.33925924045712e-05
"VRML",1.35159713930989e-05
"BRNZ",1.38169916360395e-05
"LSPN",1.44566380745302e-05
"SLGR",1.56234910295627e-05
"BCAC",1.58351584581509e-05
"CBZN",1.67623695456158e-05
"REYE",1.69083485674453e-05
"REX",1.72683331595058e-05
"SWSP",1.79637411685089e-05
"TIGR",1.88215128911541e-05
"QLBK",2.1226299946333e-05
"LCOD",2.30234155071959e-05
"SPKL",3.24017559488741e-05
"URCK",4.44418957197143e-05
