margYMTH,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,1535,0.230061349693252
CRS,50,0,0.52
ERK,323,0,0.226006191950464
MNT,108,0,0.333333333333333
MRO,138,0,0.231884057971014
OSF,29,0,0.172413793103448
HKL,110,0,0.2
NET,6,0,0.166666666666667
TWL,867,1535,0.259515570934256
1978,124,0,0.233870967741935
1979,102,1535,0.0784313725490196
1980,271,0,0.247232472324723
1981,237,0,0.253164556962025
1982,249,0,0.337349397590361
Q1,162,0,0.382716049382716
Q2,289,0,0.124567474048443
Q3,340,0,0.167647058823529
Q4,192,1535,0.484375
