margSLGR,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.404907975460123
CRS,50,0,0.64
ERK,323,1894,0.421052631578947
MNT,108,0,0.148148148148148
MRO,138,0,0.289855072463768
OSF,29,0,0.206896551724138
HKL,110,0,0.327272727272727
NET,6,0,0.166666666666667
TWL,867,1894,0.378316032295271
1978,124,0,0.169354838709677
1979,102,1894,0.196078431372549
1980,271,0,0.343173431734317
1981,237,0,0.451476793248945
1982,249,0,0.497991967871486
Q1,162,1894,0.37037037037037
Q2,289,0,0.217993079584775
Q3,340,0,0.514705882352941
Q4,192,0,0.348958333333333
