margGRAS,n,landing,coverage
BDG,56,0,1
BRG,457,0,0.919037199124726
CRS,82,0,1
ERK,594,1251,0.855218855218855
MNT,344,0,0.796511627906977
MRO,266,0,0.951127819548872
OSF,104,0,0.942307692307692
HKL,138,0,0.978260869565217
NET,47,0,1
TWL,1718,1251,0.878346915017462
1978,124,0,0.862903225806452
1979,102,0,0.990196078431373
1980,271,0,0.952029520295203
1981,237,0,0.915611814345992
1982,249,1251,0.807228915662651
1983,312,0,0.900641025641026
1984,277,0,0.833935018050541
1985,331,0,0.891238670694864
Q1,339,0,0.870206489675516
Q2,531,1251,0.934086629001883
Q3,645,0,0.874418604651163
Q4,388,0,0.865979381443299
