"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.888888888888889
"BRG",326,0,1
"CRS",50,0,0.9
"ERK",323,0,1
"MNT",108,0,0.935185185185185
"MRO",138,0,0.91304347826087
"OSF",29,0,0.896551724137931
"HKL",110,0,0.890909090909091
"NET",6,0,1
"TWL",867,2766,0.981545559400231
"1978",124,0,0.991935483870968
"1979",102,0,0.882352941176471
"1980",271,0,1
"1981",237,2766,0.9957805907173
"1982",249,0,0.943775100401606
"Q1",162,0,0.962962962962963
"Q2",289,0,0.982698961937716
"Q3",340,0,0.952941176470588
"Q4",192,2766,0.994791666666667
