margBRWN,n,landing,coverage
BRG,6,0,0.5
MNT,88,0,0.25
MRO,64,3617,0.375
OSF,52,0,0.673076923076923
HKL,1,0,1
NET,8,0,0
TWL,201,3617,0.412935323383085
1978,57,0,0.385964912280702
1980,61,0,0.540983606557377
1981,42,0,0.30952380952381
1982,50,3617,0.32
Q1,43,3617,0.209302325581395
Q2,73,0,0.383561643835616
Q3,54,0,0.62962962962963
Q4,40,0,0.325
