"marginalSPKL","n","landing","coverage"
"BDG",27,0,1
"BRG",12,0,1
"CRS",3,0,1
"ERK",55,0,1
"MNT",11,0,1
"MRO",1,13438,1
"OSF",20,0,1
"TWL",129,13438,1
"1981",37,0,1
"1982",92,13438,1
"Q1",33,0,1
"Q2",13,0,1
"Q3",37,13438,1
"Q4",46,0,1
