margSWSP,n,landing,coverage
BDG,31,0,0
BRG,420,0,0.0619047619047619
CRS,73,0,0.0958904109589041
ERK,533,0,0.347091932457786
MNT,249,0,0.236947791164659
MRO,201,0,0.174129353233831
OSF,65,0,0.246153846153846
HKL,128,0,0.2265625
NET,24,0,0.166666666666667
TWL,1420,0,0.207746478873239
1978,124,0,0.161290322580645
1979,102,0,0.0392156862745098
1980,271,0,0.143911439114391
1981,237,0,0.189873417721519
1982,249,0,0.261044176706827
1983,312,0,0.400641025641026
1984,277,0,0.108303249097473
Q1,277,0,0.234657039711191
Q2,441,0,0.272108843537415
Q3,534,0,0.189138576779026
Q4,320,0,0.13125
