margWDOW,n,landing,coverage
BDG,9,13218,0.888888888888889
BRG,326,635196,0.763803680981595
CRS,50,182129,0.68
ERK,323,15744399,0.625386996904025
MNT,108,570494,0.5
MRO,138,219593,0.717391304347826
OSF,29,788477,0.793103448275862
HKL,110,208182,0.7
NET,6,10917,0.166666666666667
TWL,867,17934407,0.681660899653979
1978,124,749148,0.701612903225806
1979,102,2751370,0.627450980392157
1980,271,10708990,0.642066420664207
1981,237,3288416,0.658227848101266
1982,249,655582,0.755020080321285
Q1,162,4011229,0.641975308641975
Q2,289,4284190,0.657439446366782
Q3,340,4756660,0.711764705882353
Q4,192,5101427,0.692708333333333
